s,D0_U5.87_F_8mA,D0_U9.A8_F_8mA,D0_U1.AA17_F_8mA,D0_U8.G3_F_8mA
0,8.19E-06,7.93E-06,7.87E-06,7.93E-06
1.02E-10,8.19E-06,8.17E-06,7.87E-06,8.21E-06
1.05E-10,8.19E-06,8.20E-06,7.87E-06,8.22E-06
2.04E-10,8.22E-06,9.07E-06,7.86E-06,7.18E-06
2.11E-10,8.22E-06,8.99E-06,7.86E-06,7.11E-06
3.06E-10,8.30E-06,7.85E-06,7.84E-06,7.23E-06
3.16E-10,8.30E-06,8.02E-06,7.83E-06,7.24E-06
4.08E-10,8.14E-06,9.56E-06,7.80E-06,7.56E-06
4.21E-10,8.11E-06,9.28E-06,7.80E-06,7.61E-06
5.10E-10,7.69E-06,7.40E-06,7.65E-06,8.44E-06
5.26E-10,7.62E-06,7.40E-06,7.63E-06,8.60E-06
6.12E-10,7.34E-06,7.42E-06,7.08E-06,8.59E-06
6.32E-10,7.28E-06,7.06E-06,6.95E-06,8.59E-06
7.14E-10,6.62E-06,5.58E-06,7.06E-06,8.45E-06
7.37E-10,6.43E-06,6.08E-06,7.09E-06,8.41E-06
8.16E-10,6.15E-06,7.80E-06,6.99E-06,7.73E-06
8.42E-10,6.06E-06,7.35E-06,6.96E-06,7.50E-06
9.18E-10,5.81E-06,6.04E-06,7.72E-06,7.48E-06
9.48E-10,5.71E-06,6.77E-06,8.01E-06,7.48E-06
1.02E-09,6.43E-06,8.54E-06,7.97E-06,7.48E-06
1.05E-09,6.76E-06,7.85E-06,7.95E-06,7.49E-06
1.12E-09,6.87E-06,6.41E-06,7.89E-06,7.77E-06
1.16E-09,6.92E-06,6.41E-06,7.86E-06,7.92E-06
1.22E-09,6.67E-06,6.40E-06,7.87E-06,7.98E-06
1.26E-09,6.52E-06,6.54E-06,7.87E-06,8.03E-06
1.33E-09,7.83E-06,6.75E-06,7.80E-06,8.19E-06
1.37E-09,8.72E-06,5.13E-06,7.74E-06,8.31E-06
1.43E-09,8.74E-06,2.89E-06,7.44E-06,7.63E-06
1.47E-09,8.74E-06,3.06E-06,7.20E-06,7.10E-06
1.53E-09,7.42E-06,3.27E-06,7.17E-06,6.97E-06
1.58E-09,6.26E-06,3.70E-06,7.13E-06,6.85E-06
1.63E-09,5.48E-06,4.16E-06,6.93E-06,6.59E-06
1.68E-09,4.69E-06,4.39E-06,6.73E-06,6.33E-06
1.73E-09,4.75E-06,4.60E-06,7.15E-06,5.78E-06
1.79E-09,4.82E-06,5.46E-06,7.64E-06,5.16E-06
